Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-50.206593	113.084656	10.82629	-862.6277	71.25	-172.83392	219.6296	26.732544	-822.8979	112000	1.07288365e-08	39528.008	-0.007319614	-6691.0586	0.852824	0.017765088	0.27375	3.0	281.52527236938477
28	-61.569386	145.09485	9.314842	-744.7052	85.065216	-324.89716	263.28842	37.086685	-868.5911	116000	0.0	15257.779	-0.009629024	-6544.923	0.8514795	0.018931823	0.27425	4.0	291.15345191955566
29	-49.534027	111.51672	16.529099	-784.62335	65.755104	-265.79837	260.21127	32.229965	-760.0056	120000	4.2915342e-09	15092.683	-0.012049629	-3462.8271	0.8498577	0.01881264	0.3255	4.0	300.180917263031
30	-37.881073	32.897736	18.248049	-174.76424	51.89189	-64.19492	80.65999	25.457773	-631.1756	124000	1.4126301e-08	9485.052	-0.010582326	-7407.858	0.8484218	0.019614734	0.275	4.0	308.91549015045166
31	-88.32963	177.63866	20.157585	-747.30554	128.7	-165.05382	161.48029	38.356922	-569.5365	128000	-7.390976e-09	34495.52	-0.011753264	-21598.574	0.846933	0.019074593	0.28725	4.0	318.17333126068115
32	-69.0113	144.75514	-1.2824755	-803.82166	92.976746	-259.2473	223.05846	12.123768	-620.3392	132000	-1.4781952e-08	24069.629	-0.009580807	-3980.7441	0.8452119	0.01724424	0.28025	4.0	327.14178824424744
33	-79.35203	168.85603	3.9971256	-787.78436	103.02631	-306.90237	233.93983	6.984677	-682.71246	136000	-1.0728836e-09	20253.898	-0.012835905	-4235.4707	0.8433073	0.015535044	0.20025	3.0	336.23681592941284
34	-57.275017	146.68256	17.15628	-794.611	80.702126	-351.7353	269.1805	6.3130608	-736.14777	140000	9.059906e-09	23412.72	-0.0076005384	-2495.8906	0.84178233	0.016338497	0.25275	3.0	345.39360642433167
35	-75.425545	138.02277	1.5641209	-743.28156	94.14634	-298.06476	269.6919	6.780242	-778.47455	144000	-2.6822091e-09	55710.016	-0.009268798	-19657.39	0.84058493	0.018341787	0.2035	3.0	354.63486671447754
36	-55.7264	111.93432	5.4068203	-815.6834	66.64815	-209.85274	188.5262	1.9836222	-773.4998	148000	1.192093e-10	31280.354	-0.010410841	-11775.002	0.8393971	0.02170954	0.2775	3.0	364.472234249115
