Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.263641	11.709362	32.866425	1.7149036	1000.0	-0.04723703	0.20408802	0.48213273	-0.50840616	4000	7.152557e-09	50.119915	-0.0136133395	-25.616062	0.918941	0.015014305	0.20625	5.0	4.437975168228149
1	15.386948	7.5473094	25.595503	5.6285825	1000.0	-1.3007468	3.2176223	8.825701	-7.1893444	8000	-2.861023e-09	13.886586	-0.012174	-7.238227	0.9184342	0.018507928	0.23275	5.0	8.576865911483765
2	19.877005	2.3174918	23.041685	16.565296	1000.0	-1.9727861	1.9301349	9.606422	-4.0119543	12000	3.9100648e-08	8.435511	-0.004227613	-6.382962	0.9174102	0.017184032	0.31675	6.0	12.17859935760498
3	9.328152	7.709275	21.314875	0.7040524	1000.0	0.75425416	2.3808208	12.4799385	-1.5785176	16000	2.3841857e-09	3.2065058	-0.010518674	-1.0912125	0.91583365	0.0045180866	0.06275	79.0	17.031247854232788
4	17.88734	7.076719	25.995928	8.358998	1000.0	-0.11394614	1.7914978	10.362949	-2.6039279	20000	-1.8119811e-08	2.947103	-0.009966435	-0.81690145	0.9156145	0.0078996215	0.0765	79.0	21.97161054611206
5	21.8682	3.8500583	26.636671	16.265976	1000.0	0.21033733	2.0762181	11.98417	-1.4276361	24000	-1.3828277e-08	1.6593788	-0.008134843	-0.6179651	0.9069325	0.0068764607	0.07375	79.0	26.17682456970215
6	22.638376	1.2942129	24.862904	21.671394	1000.0	0.033711717	2.5022223	13.616196	-2.1836977	28000	1.9073487e-09	1.1232328	-0.005435507	-0.52283216	0.88249034	0.017586011	0.255	4.0	29.765098094940186
7	26.006577	2.9340787	29.297953	22.83231	1000.0	0.774455	2.8475528	15.887404	-1.2511516	32000	3.5762786e-09	0.70328414	-0.0010256239	-0.20676222	0.88294005	0.02041691	0.3375	3.0	33.678948640823364
8	27.728493	3.1837966	31.785215	23.041231	1000.0	1.6109	3.19449	16.930588	-1.565877	36000	1.4781952e-08	1.5446482	-0.009852888	-0.53915167	0.88332534	0.0054564048	0.05	79.0	38.047372817993164
9	27.782509	6.0674505	36.34184	19.938736	1000.0	1.084886	2.8895898	17.879591	-1.7126328	40000	5.2452087e-09	0.80168104	-0.010137831	-0.08486694	0.85392827	0.0075095515	0.05925	79.0	42.358755111694336
10	30.588604	2.8535633	34.73437	27.889618	1000.0	1.2830846	2.620346	17.679161	-1.165672	44000	2.861023e-09	0.6661844	-0.009666675	-0.18502462	0.84297407	0.004392943	0.051	79.0	46.947577476501465
11	35.34973	1.913855	38.24275	33.10881	1000.0	1.3189453	2.7971377	18.775093	-1.3291724	48000	2.3841857e-09	0.6693729	-0.013691707	-0.21338776	0.8384512	0.00791316	0.0755	79.0	51.33775591850281
