Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.4972731	2.3314352	3.8287082	-0.83416194	1000.0	0.03607878	0.08159113	0.38504383	-0.17799114	2000	1.266785e-08	19.881315	0.024696697	-9.362654	0.91893786	0.08042066	0.567	1.0	1.8161487579345703
1	16.227547	6.0341244	22.261671	10.193421	1000.0	-3.0624306	1.2475419	3.7318752	-5.017305	4000	8.5771084e-08	15.667289	0.03012512	-10.805748	0.91893846	0.1195446	0.651	1.0	3.5239686965942383
2	22.3976	0.97532845	23.372929	21.422272	1000.0	-1.1364722	1.8433416	15.618816	-2.4612584	6000	-3.59416e-08	5.46644	0.022713132	-3.8572488	0.9188079	0.09160401	0.648	1.0	5.255839824676514
3	21.134232	1.2428617	22.377094	19.89137	1000.0	-0.65605015	2.9227333	20.929464	-2.6142414	8000	1.9930303e-08	5.468571	0.009832455	-3.9257622	0.9185656	0.08358815	0.589	1.0	6.993124723434448
4	23.26611	1.8762531	25.142363	21.389856	1000.0	-0.3678547	3.3430605	24.066608	-2.1333642	10000	4.3436885e-09	1.2730839	0.0046200277	-0.69050497	0.91852254	0.06389614	0.5825	1.0	8.735409498214722
5	22.96009	1.1078453	24.067936	21.852245	1000.0	0.012150024	3.8056457	27.259722	-2.1622698	12000	-1.9669533e-09	1.0689989	0.004345909	-0.5361201	0.91864675	0.050038353	0.525	1.0	10.491470575332642
6	23.604	4.144581	27.74858	19.45942	1000.0	-0.37437028	3.2395597	23.332176	-2.366846	14000	-2.4847687e-08	0.9991152	0.004458646	-0.4959904	0.91865915	0.023814557	0.219	5.0	12.314672946929932
7	23.61943	0.2857523	23.905182	23.333677	1000.0	0.8713212	4.024907	34.18642	-1.4600098	16000	-7.905066e-09	1.394366	-0.005846605	-1.0361036	0.9187311	0.016760936	0.2425	9.0	14.144438982009888
8	15.622993	0.25939322	15.882387	15.363601	1000.0	1.6073327	3.6086748	22.09116	-0.8563341	18000	-4.258752e-08	3.3282297	-0.022040173	-3.0557315	0.9212427	0.015450155	0.123	47.0	16.211429119110107
9	14.49091	4.433785	18.924694	10.057124	1000.0	1.7313892	2.5568483	21.203022	-0.6174036	20000	2.2068619e-08	4.120802	-0.009848664	-2.6077814	0.9368973	0.022543535	0.292	56.0	18.302121877670288
10	11.609615	23.287006	34.89662	-11.677392	1000.0	1.2558147	1.7336787	12.969972	-2.3171053	22000	-4.068017e-09	12.732241	-0.008034662	-10.53034	0.94790155	0.015428914	0.2125	11.0	20.112178564071655
11	26.741844	0.49550915	27.237352	26.246334	1000.0	1.5557214	3.0105157	21.76179	-3.8998568	24000	-5.990267e-09	4.729892	-0.012362075	-4.259091	0.9453056	0.016297821	0.1285	42.0	22.258781671524048
12	4.7690306	3.1062393	7.87527	1.6627913	1000.0	-0.6764134	4.8887	29.485718	-4.887705	26000	-1.5981495e-09	7.8019667	-0.004125662	-7.43069	0.8843394	0.023630545	0.2475	2.0	24.025894165039062
13	-2.8956187	2.0615122	-0.8341065	-4.957131	1000.0	0.105556436	2.407171	13.951057	-7.4548473	28000	-1.37239695e-08	3.6529915	-0.010594891	-3.1208777	0.88216126	0.017358908	0.21	2.0	25.782716035842896
14	24.64489	0.19957829	24.84447	24.445312	1000.0	-7.397922	3.0774577	10.78607	-10.402299	30000	-5.2809714e-08	50.535767	-0.0049004396	-47.806767	0.8795582	0.016155347	0.2995	10.0	27.577951669692993
15	-0.84452665	2.898013	2.0534866	-3.74254	1000.0	2.0242753	2.174203	19.898748	-7.6110396	32000	6.768107e-08	9.103026	-0.006311526	-7.2938843	0.85931784	0.016092952	0.1265	1.0	29.43118691444397
16	30.289265	0.09738445	30.38665	30.191881	1000.0	-2.4406147	3.4489346	17.47129	-5.382197	34000	3.093481e-08	10.888606	-0.014010133	-10.386914	0.8575953	0.015650451	0.202	20.0	31.264261960983276
17	21.274096	8.700199	29.974295	12.573896	1000.0	0.18868431	3.7395554	23.47197	-1.7849294	36000	3.8444994e-09	1.7418532	-0.012839269	-0.65001047	0.78286654	-0.0017330155	0.042	79.0	33.519182205200195
18	30.38496	2.265029	32.64999	28.119932	1000.0	0.13362046	3.6614575	26.012821	-1.560348	38000	4.1633843e-08	0.7869053	-0.015773248	-0.5569558	0.7658489	0.015698427	0.1285	66.0	35.62608051300049
19	33.19661	0.50567055	33.70228	32.690937	1000.0	0.859319	4.259168	26.994013	-0.73459476	40000	1.7009675e-08	0.35376695	-0.0054336437	-0.17693621	0.7040941	0.020338327	0.1705	6.0	37.509584188461304
20	26.77378	4.575674	31.349455	22.198107	1000.0	0.81902874	3.6052263	24.927212	-0.66044873	42000	6.6012142e-09	0.75038356	-0.0074659707	-0.3020983	0.7015569	0.015173025	0.281	12.0	39.37389826774597
21	28.39294	4.976178	33.369118	23.416761	1000.0	0.64980674	4.45332	29.934177	-1.0489898	44000	-5.479902e-09	0.38324553	-0.0059086005	-0.15846291	0.71328396	0.021014469	0.2	3.0	41.087538719177246
22	25.37315	8.150455	33.523605	17.222694	1000.0	0.393971	3.6158252	25.775507	-0.88468474	46000	-1.828e-08	0.7673257	-0.0012833109	-0.091929674	0.71681094	0.022300024	0.3	2.0	42.8696186542511
23	37.83284	1.4845867	39.317425	36.34825	1000.0	0.46392968	3.6908495	25.54946	-1.2568974	48000	5.632639e-09	1.5525618	0.0040294356	-1.4011288	0.7199437	0.022685455	0.329	1.0	44.603859186172485
24	29.59642	8.558231	38.15465	21.038189	1000.0	1.0268506	4.0617228	27.593256	-1.2263123	50000	1.1518598e-08	1.498066	0.022287939	-0.5878899	0.72120976	0.11250242	0.655	1.0	46.30486464500427
