Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	11.553358	17.024012	40.535965	-1.2678822	1000.0	0.039840896	0.08859662	0.4862677	-0.18221936	4000	-1.0371208e-08	56.423534	0.014737259	-25.083496	0.918941	0.06442801	0.55525	1.0	3.5221617221832275
1	13.643329	11.664705	26.859009	-4.3419914	1000.0	-3.4878645	1.8251275	6.1846256	-5.996764	8000	2.6226044e-09	22.522003	0.021577412	-13.866882	0.9219369	0.088112876	0.61075	1.0	7.06074070930481
2	22.752293	2.280625	26.06669	20.23618	1000.0	-1.3190992	1.4209229	11.790793	-3.0039127	12000	-4.7683715e-09	8.355373	0.020111253	-5.748891	0.9234985	0.05434611	0.54575	1.0	10.475043296813965
3	23.628853	2.7048557	26.012663	19.045198	1000.0	0.05610423	2.9249103	26.767294	-1.4385753	16000	1.7881394e-08	2.811573	0.007162039	-0.84360576	0.9256664	0.01905202	0.37925	1.0	13.966864824295044
4	19.900377	5.4789634	26.389366	11.901219	1000.0	0.85045266	3.42123	30.67887	-1.1422886	20000	-4.768372e-10	2.8269224	0.0008243508	-1.1076673	0.92661124	0.022174018	0.33525	1.0	17.428268432617188
5	20.39515	2.9403133	24.906242	16.820543	1000.0	-0.1854188	3.2272415	25.012974	-1.8833514	24000	3.8146974e-09	1.9642596	0.0004380846	-0.8664135	0.9272543	0.015864383	0.273	1.0	21.018083333969116
6	17.577192	2.4876018	21.341236	14.345889	1000.0	1.0954368	4.025443	25.283678	-2.2977927	28000	-7.033348e-09	4.6619616	-0.0021949855	-2.0460029	0.92826116	0.01692921	0.19225	1.0	24.503157377243042
7	19.285849	0.8116153	20.541824	18.333529	1000.0	-0.36910442	2.5391743	19.113848	-2.5209086	32000	-1.1920929e-08	1.3226765	-0.0105030835	-0.85825527	0.9293096	0.0028213903	0.0195	79.0	28.809852123260498
8	20.112947	0.8372818	21.234375	19.02303	1000.0	-0.45584485	3.2866912	23.134886	-2.0322833	36000	9.536744e-10	0.57607406	-0.011144202	-0.25574362	0.91917413	0.0076275812	0.06925	79.0	33.00590419769287
9	16.39482	2.2575102	18.923687	12.837971	1000.0	-0.3349302	3.5065548	26.53471	-2.2350185	40000	1.001358e-08	0.47048214	-0.013011226	-0.19612089	0.90322125	0.0051300745	0.0665	79.0	37.19832801818848
10	21.548985	1.742987	24.117443	19.246418	1000.0	-0.4203901	3.597594	29.70678	-2.3260713	44000	2.1457671e-09	0.5673473	-0.015764037	-0.33759457	0.8929563	0.008523994	0.06	79.0	41.50581383705139
11	20.620445	2.3043394	24.244469	18.392408	1000.0	-0.072714	3.4327693	25.32991	-2.3153973	48000	-4.887581e-09	0.3734776	-0.002285121	-0.13426997	0.87802887	0.019582355	0.2865	8.0	45.047627687454224
12	17.219254	0.67464226	18.276031	16.586945	1000.0	-0.5973881	3.550887	26.21755	-2.7967186	52000	-5.722046e-09	0.38425338	0.032929555	-0.14792596	0.8758926	0.09641625	0.641	1.0	48.5742449760437
13	22.260431	3.4497948	25.56122	16.478539	1000.0	-0.026667336	3.30294	27.224394	-2.4778292	56000	-8.225441e-09	0.65116453	0.11127166	-0.14895457	0.87438565	0.3812182	0.831	1.0	52.12084126472473
14	29.952082	2.5951486	34.42932	28.22357	1000.0	3.8305416	2.9705603	24.311619	0.37185794	60000	-8.797645e-08	6.00944	0.058981925	-4.894866	0.8735031	0.06596791	0.56575	1.0	55.6131272315979
15	25.56449	2.6575277	29.365833	22.259468	1000.0	4.103166	2.5608962	20.295712	0.17600167	64000	-2.7656554e-08	9.352677	-0.009776692	-7.834676	0.87225926	0.023749094	0.29375	1.0	59.09423875808716
16	30.023308	5.640852	36.29458	23.165726	1000.0	0.22386825	2.783017	21.038057	-3.4527242	68000	4.315376e-08	2.3718927	0.0392821	-1.2470582	0.8714218	0.10377986	0.58025	1.0	62.51696753501892
17	36.574043	2.35932	39.884785	34.148365	1000.0	-1.2547051	3.065523	22.422098	-4.445474	72000	8.72612e-08	9.350172	0.03565475	-8.643673	0.8704942	0.043331817	0.41675	1.0	65.98941946029663
18	34.565933	3.1299891	39.927765	32.04965	1000.0	0.5268809	3.2195032	24.841564	-3.1367438	76000	1.2397766e-08	1.350158	0.005082787	-0.6511169	0.86961305	0.036303964	0.41275	2.0	69.62917399406433
19	31.920338	2.6493979	34.59525	28.062653	1000.0	1.293371	3.263454	28.234928	-2.0940034	80000	-9.536743e-09	1.9261817	0.007462912	-0.90352964	0.86746097	0.027091028	0.35375	1.0	73.24393558502197
20	34.704727	1.4834516	35.992744	32.245476	1000.0	1.4447774	3.170974	26.736156	-1.4946542	84000	2.861023e-09	0.8953118	-0.0032672887	-0.41145298	0.86597043	0.015401499	0.1665	2.0	76.84234094619751
21	35.818356	2.3097398	38.514175	32.87565	1000.0	1.10364	2.950614	26.261395	-1.5022149	88000	-1.001358e-08	0.4016861	0.01639741	-0.13539174	0.8643336	0.05579233	0.5205	1.0	80.42190051078796
22	35.04674	1.252093	36.97797	33.742985	1000.0	0.83596754	3.2162304	26.970953	-1.6042227	92000	-4.768372e-10	0.46035522	-0.0013073762	-0.2299881	0.86344093	0.01567243	0.2215	2.0	84.1467113494873
23	35.506313	1.2905592	37.648514	34.29802	1000.0	1.3222558	2.932245	25.646051	-0.665976	96000	1.6689301e-09	0.22219777	0.013028834	-0.0311881	0.8574922	0.023645151	0.3075	1.0	87.56797385215759
24	36.015976	1.6560552	38.833298	34.801296	1000.0	1.8251729	2.879483	25.70634	-0.053325444	100000	2.5749207e-08	0.41041264	0.0062561426	-0.20626351	0.8535969	0.034926914	0.444	2.0	91.32594680786133
25	35.71624	3.1816955	40.386703	31.565697	1000.0	1.03024	2.9283524	24.913475	-0.90179086	104000	-1.3113022e-09	0.31522316	0.010244075	-0.09756231	0.84702295	0.022586407	0.355	1.0	95.13238716125488
26	37.568638	2.3492963	40.47179	34.67545	1000.0	0.954122	2.948169	25.569284	-0.6010399	108000	1.9073487e-09	0.33315232	0.011105679	-0.15832338	0.8444721	0.02947706	0.416	2.0	98.95167708396912
27	36.80958	2.8181624	39.46928	32.35701	1000.0	1.5317762	2.9902818	26.148457	-0.08327836	112000	1.3589859e-08	0.29168788	0.009100099	-0.08565031	0.8394893	0.021541381	0.3235	1.0	102.39529299736023
28	32.29893	3.853277	35.28904	25.847048	1000.0	1.8054216	2.889811	25.50442	0.0211308	116000	-3.8146972e-08	0.8669866	0.009628336	-0.6103083	0.8365407	0.030470768	0.374	1.0	105.93940496444702
29	36.636017	1.2581794	37.89928	34.746056	1000.0	1.1131455	2.99956	25.221346	-0.14835364	120000	-4.768372e-10	0.28835717	-0.0125135025	-0.13221836	0.8327661	0.008386825	0.0985	79.0	110.24976062774658
30	35.37832	1.7563655	37.34877	32.77859	1000.0	1.4854045	2.9770718	26.177443	-0.2171826	124000	2.9087067e-08	0.18539043	0.002960732	-0.050195158	0.81366503	0.019900486	0.24825	2.0	113.82432460784912
31	37.519592	3.0892777	41.167877	34.04773	1000.0	1.1014411	3.0674317	25.757933	-0.42466164	128000	4.053116e-09	0.24857831	0.013951814	-0.109833434	0.8116335	0.05028737	0.48375	1.0	117.37974667549133
32	37.024723	0.63152283	37.773567	36.386974	1000.0	1.0720525	2.9523523	25.370375	-0.37162676	132000	1.5616417e-08	0.19820152	0.027358703	-0.06412898	0.8100781	0.05004633	0.4885	1.0	120.99783086776733
33	34.9816	1.6669375	37.66871	33.11009	1000.0	1.0899272	3.134908	26.234709	-0.4437201	136000	-7.033348e-09	0.20053817	0.020996349	-0.037440136	0.80750763	0.04764507	0.51925	1.0	124.61249423027039
34	37.457848	0.64080834	38.521217	36.8068	1000.0	1.175291	3.0747192	26.573784	-0.3910272	140000	-7.152557e-09	0.15612388	0.0363232	-0.058748625	0.80529755	0.063585766	0.5815	1.0	128.03244400024414
35	36.176636	1.8194867	39.100727	34.56691	1000.0	1.451667	3.163211	26.472893	-0.20092738	144000	-3.5762786e-09	0.14475313	0.028916284	-0.06966326	0.80355847	0.04737972	0.49525	1.0	131.59272575378418
36	37.909996	0.70246625	38.674152	37.178627	1000.0	1.5534468	3.0425928	25.938797	-0.6804169	148000	5.722046e-09	0.22682935	0.012486855	-0.087869465	0.80137205	0.027616829	0.3175	1.0	135.10350966453552
37	36.10908	0.81671077	37.19114	34.911945	1000.0	1.5216247	3.0833838	26.255447	-0.70500875	152000	1.2159347e-08	0.18596424	0.01887843	-0.07927706	0.79957813	0.04679503	0.50275	1.0	138.7128562927246
38	37.678364	1.2126843	39.594383	36.29497	1000.0	1.1440752	3.1082306	26.63686	-1.0747797	156000	-7.867813e-09	0.12362721	0.01974294	-0.023667142	0.7976356	0.026821284	0.39975	1.0	142.16896176338196
39	37.412117	0.85448396	38.78829	36.630455	1000.0	1.0723429	3.0727968	26.027655	-0.93336236	160000	8.5830685e-09	0.10304773	0.016459554	-0.04637622	0.7954691	0.039678108	0.32875	1.0	145.67888855934143
40	36.558254	1.9367503	39.392246	34.45337	1000.0	1.2795115	3.0951219	26.2293	-0.80585766	164000	-3.0994416e-09	0.11501797	0.0058358964	-0.0286313	0.7926558	0.034293752	0.33525	2.0	149.1713604927063
41	37.907436	1.7885617	39.7406	35.08734	1000.0	1.463009	2.9107788	26.131744	0.028454155	168000	-5.9604643e-10	0.14971778	0.02208472	-0.061923772	0.7860331	0.03926682	0.46325	2.0	152.683696269989
42	37.402912	0.47956747	37.843216	36.67237	1000.0	1.1194646	2.9619653	26.217215	-0.2987712	172000	7.152557e-09	0.09639668	0.042674538	-0.039104775	0.78036255	0.06880322	0.583	1.0	156.27014899253845
43	37.130825	0.9288857	38.478565	35.90889	1000.0	1.0799453	3.1496859	26.66418	-0.75634515	176000	7.629395e-09	0.1350818	0.0046976134	-0.06092172	0.77791566	0.043799203	0.45375	4.0	159.82784175872803
44	36.24132	1.1284833	37.935745	34.983486	1000.0	1.332513	2.8943632	25.090837	-0.018394649	180000	7.629395e-09	0.11053824	0.030625511	-0.053045016	0.7681569	0.056010947	0.51575	1.0	163.63493824005127
45	37.15928	1.0326812	38.462425	35.921818	1000.0	1.5593988	3.1149936	27.279427	0.014854193	184000	3.7670137e-08	0.12631673	0.008825058	-0.06992727	0.7660275	0.018006787	0.24575	1.0	167.2165024280548
46	36.662468	0.872902	37.401608	35.17839	1000.0	1.6637323	3.087602	25.383688	0.3096164	188000	-3.862381e-08	0.20470986	-0.002380653	-0.12822524	0.76415986	0.019933421	0.1975	2.0	170.8188979625702
47	38.58381	0.94265324	40.11071	37.7382	1000.0	1.1019404	3.1280713	27.096647	-0.26980236	192000	7.867813e-09	0.1785531	0.0050817276	-0.09021942	0.7605903	0.018807007	0.1965	1.0	174.24276518821716
48	35.870316	1.0992634	37.736828	34.91519	1000.0	1.3707194	3.0893319	26.129292	-0.36750004	196000	-6.198883e-09	0.119037814	0.018490048	-0.042145006	0.7592671	0.03783113	0.41325	1.0	179.6450629234314
49	36.736412	0.72807395	37.979927	36.190483	1000.0	1.0840623	2.9918609	26.506388	-0.5560281	200000	4.351139e-09	0.122653425	0.028567107	-0.039120167	0.7585242	0.06340738	0.5245	2.0	185.91082286834717
50	38.50221	0.7702562	39.73866	37.61875	1000.0	1.2809694	2.9961767	26.205246	-0.27744302	204000	-1.692772e-08	0.10416052	0.025264954	-0.050445285	0.7554829	0.04279367	0.4685	1.0	190.83190250396729
51	39.57866	1.7748691	42.624928	38.17413	1000.0	1.5378286	3.0263	28.05743	-0.21975383	208000	8.940697e-09	0.13603003	0.011473712	-0.04513868	0.7538096	0.041644022	0.43125	2.0	195.50165438652039
52	37.360413	1.8188318	39.91698	35.2156	1000.0	1.1004865	3.1817086	27.157299	-0.8377415	212000	-4.7683715e-09	0.113437854	0.031126777	-0.06258935	0.7494131	0.08183414	0.5935	4.0	200.77641081809998
53	38.52047	0.56855434	39.244816	37.809322	1000.0	1.3922365	3.0617745	26.564867	-0.7136531	216000	-1.3589859e-08	0.123404786	0.019769229	-0.041653574	0.7381871	0.017553091	0.32925	1.0	206.2092216014862
54	37.88488	0.55809003	38.777405	37.317192	1000.0	1.4802535	3.139393	26.395138	-0.94051385	220000	-2.861023e-09	0.1636693	0.04576335	-0.052502908	0.7351428	0.09789575	0.621	3.0	211.97832369804382
55	38.14633	1.1288822	40.004894	37.222675	1000.0	1.013226	3.1641054	26.53144	-1.0919509	224000	1.835823e-08	0.16798721	0.06631317	-0.12127668	0.7289598	0.1256434	0.65575	1.0	217.69039511680603
56	37.44327	0.3108013	37.890705	37.01559	1000.0	1.3728557	3.1268923	25.755653	-0.5571541	228000	2.384186e-10	0.074034885	0.031750843	-0.028228328	0.7273847	0.042326506	0.4715	1.0	222.23806500434875
57	37.74583	0.9953078	38.877686	36.39216	1000.0	1.1988823	3.1026378	27.07797	-0.6105521	232000	9.3579295e-09	0.1184604	0.00023953838	-0.024556682	0.7258148	0.017618967	0.1935	1.0	226.47313141822815
58	37.378006	1.4713203	39.539234	35.952995	1000.0	1.2866142	3.077372	27.617416	-0.14701372	236000	6.198883e-09	0.08083911	0.025070036	-0.010979265	0.7243248	0.05936041	0.50975	1.0	230.55585098266602
59	37.887676	1.0557063	39.025753	36.319824	1000.0	1.5173068	3.0293374	26.673338	0.17150247	240000	1.6212464e-08	0.119897716	0.014488134	-0.04837282	0.722994	0.021153493	0.259	1.0	234.99288177490234
60	38.156162	1.0109676	39.749004	37.133575	1000.0	1.4490412	3.1421072	27.34219	0.15357095	244000	-2.861023e-09	0.13668476	0.0064886324	-0.05289562	0.7219985	0.026081283	0.4115	2.0	239.1019802093506
61	36.633713	1.0878533	37.759975	35.489235	1000.0	1.0815384	3.3123634	27.340918	-0.2772815	248000	4.2915342e-09	0.09216316	0.037467625	-0.040496275	0.7191442	0.109838344	0.66225	1.0	243.23877143859863
62	37.531406	1.4267621	39.15123	35.396652	1000.0	1.2117431	3.2154844	28.409428	-0.9117752	252000	-1.45435335e-08	0.13761286	0.03719758	-0.04380296	0.7179597	0.049141984	0.5195	1.0	247.40979671478271
