Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-30.083174	56.206177	51.481712	-224.50945	132.4	-13.041699	7.1735153	0.33990103	-34.785114	112000	6.198883e-09	311.76974	-0.011814652	-30.315918	0.7936169	0.016082242	0.211	4.0	374.6449546813965
28	-25.577831	81.18902	88.468216	-274.89465	148.18182	-18.735664	7.747391	0.17889123	-42.942364	116000	-4.053116e-09	251.35622	-0.009748337	-31.037674	0.7895874	0.020091312	0.27575	4.0	388.1593191623688
29	-17.771887	42.091362	28.184206	-233.98753	104.052635	-12.731838	8.033699	0.14057061	-40.636147	120000	-9.298325e-09	174.68106	-0.007939122	-15.891632	0.7854073	0.019769454	0.22825	4.0	401.52962279319763
30	-9.036906	48.177505	62.062187	-232.42403	114.333336	-12.109112	8.001498	0.30186582	-35.226196	124000	-2.1219254e-08	219.98141	-0.010502758	-28.864578	0.7815329	0.017361691	0.2785	4.0	415.04539728164673
31	-37.39093	66.88536	47.521988	-179.17455	161.10527	-11.104302	8.109578	0.8262804	-33.90711	128000	1.6212464e-08	424.99957	-0.011160707	-123.432556	0.7774714	0.018072627	0.26625	4.0	428.0388123989105
32	-21.683437	51.13897	27.314148	-189.20938	157.72	-17.723312	8.684006	0.65132105	-44.2791	132000	1.9788741e-08	324.0023	-0.01099528	-73.8755	0.7730294	0.021175653	0.2695	4.0	441.6120517253876
33	-36.072197	53.1821	24.7863	-169.76456	216.16667	-14.730909	7.7375455	0.9143404	-38.729374	136000	9.030104e-09	147.43709	-0.070875205	-27.024574	0.7687185	0.013184912	0.34175	79.0	456.9690351486206
34	-11.792483	47.76291	45.960217	-176.65413	171.05556	-12.902034	6.08195	0.24383889	-34.758656	140000	2.5749207e-08	158.6303	-0.014077786	-34.35402	0.75472987	0.0155076	0.2575	4.0	470.3135726451874
35	-2.9856381	34.65634	51.14192	-112.82083	128.54839	-6.6891403	6.5354853	0.9733257	-29.187685	144000	-1.7762185e-08	243.96976	-0.01124209	-23.083649	0.7537209	0.018139232	0.20625	3.0	483.05981945991516
36	-19.414993	55.740337	43.625694	-212.34216	126.6	-8.569934	8.229789	2.5800688	-32.292034	148000	1.502037e-08	238.53123	-0.008089065	-39.63208	0.752034	0.017151972	0.234	3.0	493.4268128871918
37	-12.592569	62.247547	83.09406	-227.09291	181.59091	-10.118328	8.710954	4.045533	-41.592995	152000	9.536743e-09	266.57474	-0.008407242	-30.10933	0.749848	0.02034991	0.29	3.0	503.73779821395874
38	-0.4620316	33.245045	60.008587	-79.519264	165.36842	-11.889613	8.718908	5.6518373	-40.267704	156000	-8.2850455e-09	128.29608	-0.006904079	-35.63067	0.7473034	0.017167142	0.257	3.0	514.6491234302521
39	-4.096711	44.054024	51.153423	-123.173355	226.0	-8.68819	8.6767845	8.559291	-29.257433	160000	-8.106232e-09	115.86015	-0.011450231	-21.87893	0.7444716	0.02212318	0.259	3.0	526.1399357318878
40	-10.109687	38.91588	37.60803	-156.11134	166.58333	-4.80883	10.618992	11.8700285	-40.11892	164000	1.168251e-08	192.0845	-0.008008146	-38.557755	0.7411367	0.02442296	0.301	3.0	538.0519094467163
41	1.7068622	32.155437	60.018707	-128.58115	107.548386	-6.9759307	8.13092	8.764525	-30.027859	168000	9.298325e-09	227.69957	-0.0082664015	-42.97664	0.7376492	0.015106137	0.155	2.0	548.2906038761139
42	4.473065	52.382233	50.388065	-153.7469	254.92308	-6.0406904	6.209282	10.393075	-20.886421	172000	1.2397766e-08	206.03725	-0.006218283	-65.428024	0.7353283	0.02444657	0.28525	3.0	558.9912621974945
43	-19.297297	44.198456	61.69521	-99.50747	314.16666	-6.4852023	11.61661	24.513258	-27.13424	176000	5.2452087e-09	119.297356	-0.008714725	-52.151558	0.73188287	0.017381031	0.2925	4.0	569.9262804985046
44	-10.090888	32.898003	41.98182	-113.00156	246.0	-5.868227	6.584338	11.87359	-26.186615	180000	-1.1920929e-08	148.78745	-0.010548235	-16.939133	0.7269733	0.018564489	0.2795	4.0	582.4344344139099
45	-0.5291526	26.488049	63.272114	-73.94375	114.22581	-3.6851172	5.653635	14.953504	-20.785135	184000	-1.4662743e-08	224.6962	-0.01221226	-40.011734	0.72203267	0.01717633	0.315	5.0	595.7451393604279
46	-42.657677	29.294666	1.8754712	-75.990036	555.1667	-7.3216033	4.7303944	17.309246	-29.232216	188000	-1.3113022e-08	75.66058	-0.012881897	-19.34851	0.7168077	0.01786849	0.23125	3.0	608.8147623538971
47	-7.7671204	39.30357	65.49659	-97.80769	200.11111	-6.816492	4.1341677	11.359773	-19.540464	192000	5.1259996e-09	98.44061	-0.0076854033	-17.845734	0.71379566	0.020341653	0.27175	3.0	621.9269464015961
48	-2.0598712	19.642351	62.21503	-56.984337	140.76923	-2.8927374	5.425236	16.721739	-17.75222	196000	-5.9604646e-09	127.2046	-0.006896856	-15.289749	0.710411	0.016331196	0.21575	3.0	633.7649073600769
49	8.936361	18.75801	52.15263	-21.910343	197.5625	-3.3575404	3.5647893	11.429449	-12.552098	200000	3.3974648e-09	224.56888	-0.010418849	-33.08185	0.70682746	0.018627804	0.28075	4.0	644.388808965683
50	0.7891022	26.439606	41.46665	-73.73097	171.95454	0.32750618	5.471645	19.420126	-13.832797	204000	-1.5735626e-08	109.979614	-0.012136072	-15.587158	0.7021154	0.021283163	0.23975	3.0	654.6835696697235
51	7.250067	21.512524	53.549465	-43.406685	225.4	-2.6218393	4.3755713	14.356343	-20.93524	208000	9.179115e-09	100.42508	-0.010570123	-10.582565	0.69889987	0.015440029	0.29	4.0	665.6881353855133
52	11.434763	32.03994	69.913506	-53.50452	421.0	-1.0094973	4.1011405	16.538754	-8.131575	212000	1.07288365e-08	78.77572	-0.0090778135	-12.757706	0.69454294	0.018200714	0.26425	4.0	680.1365821361542
53	1.258315	40.01012	107.00411	-75.39554	222.16667	0.95631266	6.3215237	18.920406	-13.587669	216000	-2.3841857e-09	213.63788	-0.009801845	-31.398193	0.6895241	0.01687396	0.25025	4.0	693.5835847854614
54	22.705063	39.34406	102.19628	-43.463497	244.625	0.75703114	7.473684	27.492004	-12.726794	220000	-2.861023e-09	218.1885	-0.011881181	-62.774307	0.6845272	0.018888641	0.22275	3.0	707.2371008396149
55	9.408094	55.14626	96.80021	-136.39581	263.64285	3.1227002	7.192256	25.091457	-11.382411	224000	-7.390976e-09	278.31375	-0.009397801	-57.70253	0.6809204	0.01757073	0.236	3.0	720.79332447052
56	18.49702	24.888994	76.215775	-13.952612	261.73334	-0.7424362	6.178846	28.009851	-15.593791	228000	-8.106232e-09	79.97831	-0.007900855	-29.160717	0.6774472	0.018511388	0.324	4.0	734.8578419685364
57	16.536901	40.98134	76.90617	-55.221756	425.0	3.1569493	5.2898006	24.219353	-8.666563	232000	-9.775162e-09	187.74138	-0.009147252	-26.907562	0.6731513	0.016193632	0.20075	3.0	748.6205112934113
58	36.455917	45.17354	132.66504	-20.476114	348.54544	2.5769868	5.425486	21.684786	-11.097832	236000	1.4305115e-09	164.99248	-0.009016613	-49.24768	0.67021203	0.019429693	0.2795	4.0	762.0514273643494
59	33.61542	46.50126	189.44894	-19.921455	219.47058	6.7012215	7.173947	32.417694	-11.788325	240000	2.157688e-08	196.7401	-0.011795985	-36.48044	0.6665263	0.016693326	0.28125	5.0	775.6476063728333
60	16.066282	24.708326	90.50851	-18.346182	147.16	9.396264	7.351579	32.814266	-8.831181	244000	-2.4199485e-08	173.20924	-0.010660332	-53.481087	0.6616164	0.021415908	0.24325	4.0	789.3208875656128
61	25.64148	31.859035	95.22663	-36.78038	177.76471	5.0303807	5.6605954	33.600964	-10.916981	248000	-4.6491624e-09	114.03768	-0.010086736	-24.46563	0.6575484	0.020778373	0.28575	4.0	803.0717678070068
62	15.485548	28.84769	49.67494	-47.55288	415.55554	2.3340268	5.49539	32.26673	-13.330457	252000	-1.7166137e-08	88.80454	-0.011481861	-31.147587	0.65329367	0.018920174	0.21175	3.0	816.6697683334351
63	12.211443	26.379847	43.089966	-39.642227	263.35715	2.6757169	3.6164255	23.012377	-14.967493	256000	7.1823596e-09	108.68183	-0.0072591687	-21.87925	0.64996415	0.015462671	0.241	4.0	830.1071119308472
64	22.236874	36.838417	93.86242	-58.716114	329.5	3.5425165	4.3594327	22.67286	-20.74727	260000	1.1920929e-08	105.18251	-0.01217975	-24.51912	0.64538723	0.018800985	0.29375	4.0	843.447448015213
65	28.616606	66.716774	165.4682	-100.46774	343.54544	4.7586093	5.969817	28.852375	-15.48012	264000	5.00679e-09	228.36478	-0.010151971	-70.16269	0.64098185	0.02169509	0.28	4.0	856.7380340099335
66	44.200905	51.84298	134.82079	-11.867472	438.33334	5.576832	8.2241745	42.065792	-22.433485	268000	1.3351441e-08	116.24138	-0.011960277	-37.819824	0.6368271	0.0209175	0.29625	4.0	871.0365233421326
67	32.542503	34.675232	94.622574	1.4247245	464.57144	4.7795568	6.180618	37.990864	-15.925566	272000	-3.3378602e-09	112.41721	-0.009876034	-30.252655	0.6325271	0.017753847	0.2825	4.0	884.7641499042511
68	53.672882	63.623558	223.67151	-3.4580152	381.5	7.944647	5.596946	40.983173	-6.634962	276000	5.4836273e-09	201.86003	-0.010473165	-76.892075	0.6280598	0.021572474	0.27025	4.0	899.7560575008392
69	43.686012	41.14985	136.88501	-2.516312	443.125	8.206908	5.558956	36.76454	-10.634797	280000	3.0994416e-09	69.75073	-0.008259901	-28.595032	0.623653	0.021876441	0.23575	3.0	913.5428152084351
70	26.499825	36.038517	106.352234	-18.740738	244.53334	7.960967	5.717789	33.073635	-11.011151	284000	1.6450882e-08	74.40841	-0.01218152	-28.149723	0.6204656	0.016975062	0.3015	5.0	927.5491514205933
71	89.468056	49.057896	165.66325	11.259428	711.2	8.715814	3.5508204	27.492348	-7.560234	288000	-7.390976e-09	88.26713	-0.012564137	-39.801712	0.6149352	0.016366739	0.2005	4.0	942.9659252166748
72	29.578003	73.32607	220.21597	-164.37756	245.125	9.68486	8.937212	43.059277	-12.975062	292000	-1.5974045e-08	398.17413	-0.010075361	-136.06049	0.610035	0.016314415	0.1585	3.0	957.7640163898468
73	71.65016	118.734055	347.57565	-69.90467	468.125	14.839711	9.489473	46.894955	-24.99672	296000	3.8146974e-09	424.51755	-0.007826956	-185.12271	0.60648733	0.020038059	0.2205	3.0	975.4018614292145
74	46.91477	63.540237	175.87704	-37.705265	283.45456	10.861653	8.360718	54.170624	-24.976027	300000	-8.8214875e-09	174.80641	-0.011005515	-41.196625	0.60327286	0.01876638	0.28425	4.0	991.1189768314362
75	61.159798	95.15332	188.63799	-74.63676	636.8	8.523096	7.20064	44.067707	-22.874374	304000	1.1444092e-08	115.920235	-0.009060395	-36.808296	0.5989197	0.019330861	0.27175	4.0	1009.0537083148956
