Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-185.65286	257.2963	2.0478215	-698.02264	276.7857	-0.10471551	0.08665595	0.29903275	-0.5748203	4000	-4.9829485e-08	3213.4336	-0.017566612	-1784.7095	0.9189443	0.015151249	0.19325	11.0	6.0486462116241455
1	-154.34639	213.76106	5.603152	-646.86176	242.9375	-22.818012	6.221809	-5.300483	-54.73033	8000	-9.536744e-10	1123.9373	-0.042039845	-685.047	0.9167644	0.006018973	0.16775	79.0	13.549387216567993
2	-68.17284	103.728386	12.097961	-537.1911	126.92857	-47.607624	10.246349	-8.447804	-88.10149	12000	3.5762786e-09	782.44666	-0.044757664	-255.07483	0.9047298	0.0060215406	0.16625	79.0	22.171295404434204
3	-96.37918	143.82077	-5.422204	-535.1811	180.0	-34.6109	7.4971137	-2.6095314	-64.346725	16000	1.3351441e-08	421.18488	-0.046817318	-73.0383	0.893995	0.004246553	0.20475	79.0	29.69558811187744
4	-64.19282	130.93031	11.789431	-566.36145	132.43333	-40.05676	8.425181	-2.1680527	-72.87597	20000	-7.629395e-09	549.13727	-0.01508752	-137.06876	0.88547474	0.016314678	0.23775	10.0	36.77981448173523
5	-91.45514	135.79521	9.254107	-458.0782	185.11765	-34.439125	8.116153	-0.42007238	-59.553616	24000	1.2874604e-08	308.17728	-0.046177592	-41.574036	0.88400036	0.0049944096	0.1875	79.0	44.83108067512512
6	-61.38831	112.76537	3.2494278	-497.47852	138.2963	-35.54168	8.394534	-0.18229346	-70.77728	28000	5.00679e-09	336.32816	-0.014360221	-51.91342	0.8735532	0.015751353	0.18925	8.0	52.432379484176636
7	-91.25395	128.26578	-3.612125	-438.99475	181.70589	-34.84307	8.428788	-0.09695219	-62.593636	32000	2.9563903e-08	273.79364	-0.046558615	-41.95735	0.87246895	0.00896231	0.20775	79.0	61.92185068130493
8	-61.494965	108.966606	20.115332	-445.92682	147.7037	-36.43712	9.546161	-0.09691893	-63.366707	36000	5.4836273e-09	280.31277	-0.012911549	-101.847595	0.8587008	0.015968913	0.197	8.0	67.76119351387024
9	-76.57484	114.97761	14.222621	-408.12183	167.09091	-28.098465	9.682484	0.31643832	-59.049026	40000	1.8119811e-08	296.2891	-0.014248859	-75.723785	0.85754955	0.0170551	0.2005	8.0	73.71672034263611
